title,company,location,workplace,job_type,level,applicants,salary,posted,skills
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
IT Application Engineer,GE Renewable Energy,"Zamudio, Basque Country, Spain",,Full-time,Entry level,5 people clicked apply,,4 days ago,['Oracle']
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
PHP Developer (Symfony),Cognizant,"Navalcarnero, Community of Madrid, Spain",Hybrid,Full-time,Entry level,22 people clicked apply,,4 days ago,"['PHP', 'Symfony', 'HTML', 'CSS']"
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
QA Engineer,ZINIO,"Barcelona, Catalonia, Spain",Hybrid,Full-time,,23 people clicked apply,,6 days ago,['Jenkins']
SOFTWARE COMPONENT ENGINEER,Hitachi Rail,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,50 people clicked apply,,Reposted 1 week ago,"['C++', 'SQL', 'T-SQL']"
Firmware Engineer - Avionics and Flight System,Sener Aerospace & Defence,"Tres Cantos, Community of Madrid, Spain",On-site,Full-time,Entry level,12 people clicked apply,,Reposted 13 minutes ago,"['C++', 'C#', 'Go']"
Rev-celerator Graduate Programme: Backend Java Software Engineer,Revolut,"Madrid, Community of Madrid, Spain",On-site,Internship,,100 people clicked apply,,Reposted 2 days ago,['Java']
