title,website,industry,company_size,headquarters,founded,specialties
Mediacore Solutions,http://mediacore.es,Advertising Services,11-50 employees,,"Retargeting, RTB (Real Time Biding), SEM, Analytics y Big Data, Producción Creativa Digital, Social Ads, Adserving y Traficado, Big Data, Compra programática, SEO, Inteligencia Artificial, Ciberseguridad, Consultoría Tecnológica, Consultoría de Negocios y Procesos, Formación In-house, Outsourcing, and Talento","Retargeting, RTB (Real Time Biding), SEM, Analytics y Big Data, Producción Creativa Digital, Social Ads, Adserving y Traficado, Big Data, Compra programática, SEO, Inteligencia Artificial, Ciberseguridad, Consultoría Tecnológica, Consultoría de Negocios y Procesos, Formación In-house, Outsourcing, and Talento"
NUNSYS,http://nunsys.com,IT Services and IT Consulting,1K-5K employees,,"Business Intelligence, Industria 4.0, Comunicaciones, Sistemas, Ciberseguridad, Big Data, Smart Cities, Servicios Gestionados de Impresión y Contenidos, Data center, comunicaciones unificadas, audiovisuales, pantallas led, and formación tecnológica","Business Intelligence, Industria 4.0, Comunicaciones, Sistemas, Ciberseguridad, Big Data, Smart Cities, Servicios Gestionados de Impresión y Contenidos, Data center, comunicaciones unificadas, audiovisuales, pantallas led, and formación tecnológica"
Santander Corporate & Investment Banking,https://www.santandercib.com,Financial Services,10K+ employees,,"10,001+ employees",
M47 Labs - Your AI Partner,http://www.m47labs.com,IT Services and IT Consulting,51-200 employees,,"Barcelona, Spain",
UST,http://www.ust.com,IT Services and IT Consulting,10K+ employees,,"Digital Solutions, Platforms, Engineering, R&D, and Products","Digital Solutions, Platforms, Engineering, R&D, and Products"
Mediacore Solutions,http://mediacore.es,Advertising Services,11-50 employees,,"Retargeting, RTB (Real Time Biding), SEM, Analytics y Big Data, Producción Creativa Digital, Social Ads, Adserving y Traficado, Big Data, Compra programática, SEO, Inteligencia Artificial, Ciberseguridad, Consultoría Tecnológica, Consultoría de Negocios y Procesos, Formación In-house, Outsourcing, and Talento","Retargeting, RTB (Real Time Biding), SEM, Analytics y Big Data, Producción Creativa Digital, Social Ads, Adserving y Traficado, Big Data, Compra programática, SEO, Inteligencia Artificial, Ciberseguridad, Consultoría Tecnológica, Consultoría de Negocios y Procesos, Formación In-house, Outsourcing, and Talento"
M47 Labs - Your AI Partner,http://www.m47labs.com,IT Services and IT Consulting,51-200 employees,,"Barcelona, Spain",
UST,http://www.ust.com,IT Services and IT Consulting,10K+ employees,,"Digital Solutions, Platforms, Engineering, R&D, and Products","Digital Solutions, Platforms, Engineering, R&D, and Products"
