title,company,location,country,workplace,job_type,level,applicants,salary,posted,skills,link
"Ingeniero de Machine Learning - especialidad en lenguaje, LLMs, etc.",Cambrian Intelligence SL,Spain,Spain,Remote,Full-time,,3,,19 minutes ago,['Python'],https://www.linkedin.com/jobs/view/4106860237
Junior Testing Engineer - Ciberseguridad,Applus+ Laboratories,"Cerdanyola del Vallès, Catalonia, Spain",Spain,On-site,Contract,Entry level,100,,Reposted 4 hours ago,['Python'],https://www.linkedin.com/jobs/view/4083022331
Robot Tester,Robotnik Automation,"Paterna, Valencian Community, Spain",Spain,Hybrid,Full-time,Entry level,10,,6 hours ago,"['SQL', 'Selenium', 'Playwright', 'Jenkins']",https://www.linkedin.com/jobs/view/4108508919
PROGRAMADOR/A JUNIOR,PIMEC,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,,13,,3 hours ago,"['Python', 'PHP']",https://www.linkedin.com/jobs/view/4106838297
Junior Software Engineer,ETS Asset Management Factory,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,,20,,2 hours ago,"['Python', 'PostgreSQL', 'SQL', 'MongoDB', 'Docker']",https://www.linkedin.com/jobs/view/4045837019
Freelancer,,Spain,Spain,Remote,,,4,,17 minutes ago,"['Python', 'HTML']",https://www.linkedin.com/jobs/view/4108476574
Perfil front-end Drupal y React 100% Remoto,Ibertech IT Services,Spain,Spain,Remote,Full-time,Entry level,27,,8 hours ago,['Django'],https://www.linkedin.com/jobs/view/4108500940
Data Algorithm Development Engineer,Hobson Prior,"Barcelona, Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,24,,6 hours ago,"['Python', 'R']",https://www.linkedin.com/jobs/view/4108123049
