title,website,industry,company_size,headquarters,founded,specialties
PKWARE,https://www.pkware.com,Computer and Network Security,51-200 employees,"Milwaukee, WI",1986,"Data Discovery, Data Classification, Remediation , Persistent Encryption, Data Protection, Key Management, Data Security, Policy Management, Secure Email, and Automated Data Redaction"
Adobe,http://www.adobe.com,Software Development,"10,001+ employees","San Jose, CA",1982,"Software, Creative Cloud, Digital Marketing, Web Experience Management, Digital Media, Creative Suite, Digital Publishing, Photoshop, Online Analytics, Illustrator, Touch Apps, Acrobat, Mobile Apps, Social Marketing, Web Marketing, and Social Measurement"
Net Health,https://www.nethealth.com/,Software Development,"501-1,000 employees","Pittsburgh, PA",1993,"Healthcare IT, Wound Care, Employee Health, Occupational Medicine, EMR/EHR, Speech and Language Therapy, Physical Therapy, Workplace Medicine, Occupational Therapy, Clinical workflow documentation, Analytics, Revenue Cycle Management, Practice management, SNF, Hospice, Home Health, Skilled Nursing, Occupational Health, ALF, and predictive anaytics"
SpaceX,http://www.spacex.com,Aviation and Aerospace Component Manufacturing,"1,001-5,000 employees","Hawthorne, California",2002,"Falcon 9 and Falcon Heavy Rockets, Dragon Cargo and Crew Spacecraft, Merlin Rocket Engines, Draco and SuperDraco Thrusters, PICA-X high performance heat shield material, and Satellite Development"
CAYS Inc.,http://www.cayscorp.com,Staffing and Recruiting,51-200 employees,"El Segundo, CA",2015,IT Staffing for India and US
Outlier,https://outlier.ai/,Software Development,"1,001-5,000 employees",,,
Industrial Electric Mfg. (IEM),http://www.iemfg.com,"Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees","Fremont, CA",1955,"Electrical Distribution Equipment up to 38kV, Medium Voltage Arc-Resistant Switchgear, Integrated Power Control Systems, Marine Switchgear, and Data Center Power Solutions"
West Bend Insurance Company,https://www.thesilverlining.com,Insurance,"1,001-5,000 employees","West Bend, WI",1894,"Property and Casualty Insurance, Workers' Compensation Insurance, and Surety Bonds"
Nike,https://jobs.nike.com/,Retail,"10,001+ employees","Beaverton, OR",,"Athletic Shoes, Apparel, Sports Equipment, Digital, Merchandising, Innovation, Technology, and Retail"
Mastercard Processing S.A.,https://www.mastercard.pl/pl-pl/instytucje-finansowe/mastercard-payment-transaction-services.html,Financial Services,51-200 employees,"Warsaw, Mazowieckie",2008,
T-Mobile,https://bit.ly/3IK6i13,Telecommunications,"10,001+ employees","Bellevue, WA",,"IoT, Retail, 5G for All, Future of 5G, Business Sales, Customer Care, Business Wireless, Consumer Wireless, Technology, Internships & Returnships, DE&I, and Benefits & Perks"
T-Mobile,https://bit.ly/3IK6i13,Telecommunications,"10,001+ employees","Bellevue, WA",,"IoT, Retail, 5G for All, Future of 5G, Business Sales, Customer Care, Business Wireless, Consumer Wireless, Technology, Internships & Returnships, DE&I, and Benefits & Perks"
