title,company,location,workplace,job_type,level,applicants,salary,posted,skills
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
Java Developer for IAM Team - SCIB Málaga,Santander Corporate & Investment Banking,"Málaga, Andalusia, Spain",On-site,Full-time,Entry level,74 people clicked apply,,Reposted 3 days ago,"['Java', 'Spring', 'SQL', 'Oracle', 'Jenkins', 'Kubernetes']"
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
Power Platform Developer Internship,Zurich Insurance,"Barcelona, Catalonia, Spain",Hybrid,Internship,,50 people clicked apply,,Reposted 5 days ago,"['C#', 'Angular']"
Rev-celerator Graduate Programme: Backend Java Software Engineer,Revolut,"Barcelona, Catalonia, Spain",On-site,Internship,,83 people clicked apply,,Reposted 1 day ago,['Java']
Rev-celerator Graduate Programme: Backend Java Software Engineer,Revolut,Spain,Remote,Internship,,100 people clicked apply,,Reposted 1 day ago,['Java']
Rev-celerator Graduate Programme: Backend Java Software Engineer,Revolut,Spain,Remote,Internship,,100 people clicked apply,,Reposted 1 day ago,['Java']
DevOps Engineer con experiencia en Azure y Kubernetes,Mediacore Solutions,"Granada, Andalusia, Spain",Hybrid,Full-time,,45,,6 days ago,"['Azure', 'Kubernetes']"
Programador/a .NET MOM,NUNSYS,"Aranda de Duero, Castilla and Leon, Spain",On-site,Full-time,Entry level,9 people clicked apply,,5 days ago,['SQL']
Software QA Engineer - Native in Dutch (Belgium),M47 Labs - Your AI Partner,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,0 people clicked apply,,5 days ago,['Python']
RDA Developer,UST,"Madrid, Community of Madrid, Spain",,Full-time,Entry level,2 people clicked apply,,6 days ago,"['Java', 'AWS']"
Backend Software Engineer (JVM + Blockchain),Revolut,"Madrid, Community of Madrid, Spain",On-site,Full-time,Entry level,77 people clicked apply,,Reposted 1 day ago,"['Solidity', 'Java', 'Scala', 'Kotlin']"
