title,company,location,country,workplace,job_type,level,applicants,salary,posted,skills,link
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,2 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
QA Developer H/M,,Greater Lerida Area,Spain,On-site,Contract,Entry level,84,,Reposted 6 days ago,['Docker'],https://www.linkedin.com/jobs/view/3810873814&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,2 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Quality Assurance Intern (M/W),,"Barcelona, Catalonia, Spain",Spain,On-site,Internship,,1 person clicked apply,,1 hour ago,"['AWS', 'JavaScript', 'Spring', 'Python', 'Go', 'React', 'Playwright']",https://www.linkedin.com/jobs/view/4106723491&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,Greater Palma de Mallorca Metropolitan Area,Spain,On-site,Full-time,,89,,4 days ago,['PHP'],https://www.linkedin.com/jobs/view/4102728287&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Programador/a Microsoft Power Platform,,"Paterna, Valencian Community, Spain",Spain,On-site,Full-time,Entry level,80,,Reposted 5 days ago,"['JavaScript', 'HTML', 'CSS']",https://www.linkedin.com/jobs/view/4045542762&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
DevOps Engineer,,"Elche, Valencian Community, Spain",Spain,Hybrid,Full-time,,19,,Reposted 23 hours ago,"['Docker', 'Kubernetes', 'Azure']",https://www.linkedin.com/jobs/view/4090964266&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Consulting H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,85,,Reposted 6 days ago,['Kafka'],https://www.linkedin.com/jobs/view/3637276757&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Internship Product Developer,,"Bilbao, Basque Country, Spain",Spain,Hybrid,Internship,Entry level,6,,2 hours ago,['C#'],https://www.linkedin.com/jobs/view/4105996573&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
