title,company,location,country,workplace,job_type,level,applicants,salary,posted,skills,link
Node.js Engineer,,"Málaga, Andalusia, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 1 day ago,"['GraphQL', 'Jenkins', 'JavaScript', 'CSS', 'HTML']",https://www.linkedin.com/jobs/view/3996526538&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Ingeniero de software,,"Sant Boi de Llobregat, Catalonia, Spain",Spain,Hybrid,Full-time,,55,,3 days ago,['SQL'],https://www.linkedin.com/jobs/view/4102754988&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Java Developer for IAM Team - SCIB Málaga,,"Málaga, Andalusia, Spain",Spain,On-site,Full-time,Entry level,89,,Reposted 6 days ago,"['Java', 'Spring', 'SQL', 'Oracle', 'Jenkins', 'Kubernetes']",https://www.linkedin.com/jobs/view/4043258343&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Consultor/a BluePrism,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,3,,3 days ago,"['C++', 'Python']",https://www.linkedin.com/jobs/view/4102959125&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
ION MARKETVIEW,,Spain,Spain,Remote,Full-time,Entry level,10,,Reposted 1 day ago,"['Shell', 'Jenkins', 'Kubernetes', 'SQL', 'Oracle']",https://www.linkedin.com/jobs/view/4085301101&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
QA Developer H/M,,Greater Lerida Area,Spain,On-site,Contract,Entry level,84,,Reposted 6 days ago,['Docker'],https://www.linkedin.com/jobs/view/3810873814&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Desarrollador web - Jornada completa,,"Valencia, Valencian Community, Spain",Spain,Hybrid,Full-time,,100,,2 days ago,"['HTML', 'CSS', 'JavaScript']",https://www.linkedin.com/jobs/view/4103438045&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
AWS Cloud Engineer,,Spain,Spain,Remote,Full-time,Entry level,100,,Reposted 23 hours ago,"['Jenkins', 'Docker', 'Selenium']",https://www.linkedin.com/jobs/view/3773970765&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Appian Developer - 100% Remoto,,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,14,,5 days ago,"['SQL', 'Oracle']",https://www.linkedin.com/jobs/view/4102417828&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Software Engineer Full Stack - Monitor,,"Zaragoza, Aragon, Spain",Spain,Hybrid,Full-time,Entry level,14,,Reposted 3 days ago,"['Java', 'Golang', 'Python', 'React', 'Kubernetes', 'GCP']",https://www.linkedin.com/jobs/view/4098233819&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Desarrollador/a. net y Angular (Getafe),,"Madrid, Community of Madrid, Spain",Spain,,Part-time,Entry level,23,,Reposted 1 day ago,"['Angular', 'SQL']",https://www.linkedin.com/jobs/view/4082618949&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Software developer trainee,,"Valencia, Valencian Community, Spain",Spain,Hybrid,Internship,,94,,4 days ago,"['Java', 'Spring', 'Python']",https://www.linkedin.com/jobs/view/4101167421&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Software Engineer (Android),,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,13,,2 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4103330290&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
QC Tester (Accessibility ) - 100% Remote,,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,52,,Reposted 6 days ago,"['HTML', 'CSS']",https://www.linkedin.com/jobs/view/4081126080&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Co-Socio para Desarrollo de Aplicación Móvil,,"Barcelona, Catalonia, Spain",Spain,Remote,,,77,,2 days ago,"['Swift', 'Kotlin', 'React', 'Flutter']",https://www.linkedin.com/jobs/view/4102349493&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Analysis Engineer (m/f/x) for Platform-Software in the Area of Driver Assistance Systems and Autonomous Driving,,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,2,,1 day ago,['C++'],https://www.linkedin.com/jobs/view/4104938175&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Android Developer,,"Sant Cugat del Vallès, Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,49,,3 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4101200043&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer - SCIB Málaga,,"Málaga, Andalusia, Spain",Spain,Hybrid,Full-time,Entry level,49,,3 days ago,"['React', 'Java', 'Spring', 'Angular']",https://www.linkedin.com/jobs/view/4102272930&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
"QA Engineer, The Bump",,"Barcelona, Catalonia, Spain",Spain,,Full-time,Entry level,75,,Reposted 3 days ago,"['Playwright', 'JavaScript', 'Bash']",https://www.linkedin.com/jobs/view/4083849297&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Desarrollador Dynamics 365,,"Barcelona, Catalonia, Spain",Spain,Remote,Full-time,Entry level,1 person clicked apply,,19 hours ago,"['C#', 'JavaScript', 'Python', 'Azure']",https://www.linkedin.com/jobs/view/4104231830&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Junior Spark/Scala Developer,,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,43,,4 days ago,"['AWS', 'SQL', 'Jenkins']",https://www.linkedin.com/jobs/view/4102002400&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Data Platform Engineer,,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Entry level,100,,Reposted 6 days ago,"['GDPR', 'Python', 'Kafka', 'Spark', 'AWS', 'Airflow', 'SQL', 'NoSQL', 'Docker', 'Kubernetes']",https://www.linkedin.com/jobs/view/3931179556&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Programador .Net junior H/M,,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 5 days ago,"['SQL', 'Java']",https://www.linkedin.com/jobs/view/3837619056&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Data Engineer - Advanced Analytics Madrid,,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,27,,3 days ago,"['Python', 'R', 'Hadoop', 'Spark']",https://www.linkedin.com/jobs/view/4102760934&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Java Developer,,"Madrid, Community of Madrid, Spain",Spain,Hybrid,Full-time,Entry level,45,,3 days ago,"['Java', 'SQL', 'Oracle', 'MySQL', 'Docker']",https://www.linkedin.com/jobs/view/4102323445&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,2 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,Greater Palma de Mallorca Metropolitan Area,Spain,On-site,Full-time,,89,,4 days ago,['PHP'],https://www.linkedin.com/jobs/view/4102728287&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Software Engineer (Android),,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,13,,2 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4103330290&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,2 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,Greater Palma de Mallorca Metropolitan Area,Spain,On-site,Full-time,,89,,4 days ago,['PHP'],https://www.linkedin.com/jobs/view/4102728287&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Software Engineer (Android),,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,13,,2 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4103330290&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,2 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,Greater Palma de Mallorca Metropolitan Area,Spain,On-site,Full-time,,89,,4 days ago,['PHP'],https://www.linkedin.com/jobs/view/4102728287&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Software Engineer (Android),,"Barcelona, Catalonia, Spain",Spain,On-site,Full-time,Entry level,13,,2 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4103330290&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,3 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Data Platform Engineer,,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Entry level,100,,Reposted 6 days ago,"['GDPR', 'Python', 'Kafka', 'Spark', 'AWS', 'Airflow', 'SQL', 'NoSQL', 'Docker', 'Kubernetes']",https://www.linkedin.com/jobs/view/3931179556&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Ingeniero de Desarrollo de SW de Testeo,,"Liria, Valencian Community, Spain",Spain,Hybrid,Full-time,Entry level,15,,3 days ago,"['MySQL', 'Python']",https://www.linkedin.com/jobs/view/4102253503&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,3 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Data Platform Engineer,,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Entry level,100,,Reposted 6 days ago,"['GDPR', 'Python', 'Kafka', 'Spark', 'AWS', 'Airflow', 'SQL', 'NoSQL', 'Docker', 'Kubernetes']",https://www.linkedin.com/jobs/view/3931179556&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,3 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Data Platform Engineer,,"Madrid, Community of Madrid, Spain",Spain,Remote,Full-time,Entry level,100,,Reposted 6 days ago,"['GDPR', 'Python', 'Kafka', 'Spark', 'AWS', 'Airflow', 'SQL', 'NoSQL', 'Docker', 'Kubernetes']",https://www.linkedin.com/jobs/view/3931179556&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Appian Developer - 100% Remoto,,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,14,,5 days ago,"['SQL', 'Oracle']",https://www.linkedin.com/jobs/view/4102417828&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Programador/a Microsoft Power Platform,,"Paterna, Valencian Community, Spain",Spain,On-site,Full-time,Entry level,80,,Reposted 5 days ago,"['JavaScript', 'HTML', 'CSS']",https://www.linkedin.com/jobs/view/4045542762&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Full Stack Developer,,"Inca, Balearic Islands, Spain",Spain,On-site,Full-time,,62,,3 days ago,"['React', 'CSS', 'HTML', 'JavaScript', 'Java', 'Spring']",https://www.linkedin.com/jobs/view/4089012439&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
FRONTEND Software Development H/M,,"Madrid, Community of Madrid, Spain",Spain,On-site,Full-time,Entry level,100,,Reposted 6 days ago,"['JavaScript', 'HTML', 'CSS', 'Angular', 'Chai', 'Jenkins', 'Java', 'Spring', 'Kubernetes']",https://www.linkedin.com/jobs/view/3856993489&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Appian Developer - 100% Remoto,,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,14,,5 days ago,"['SQL', 'Oracle']",https://www.linkedin.com/jobs/view/4102417828&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Programador/a Microsoft Power Platform,,"Paterna, Valencian Community, Spain",Spain,On-site,Full-time,Entry level,80,,Reposted 5 days ago,"['JavaScript', 'HTML', 'CSS']",https://www.linkedin.com/jobs/view/4045542762&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Development H/M,,Greater Lerida Area,Spain,On-site,Full-time,Entry level,19,,Reposted 5 days ago,"['Java', 'Spring', 'Docker', 'OpenShift', 'React', 'HTML', 'SQL', 'DB2', 'MongoDB']",https://www.linkedin.com/jobs/view/4082211875&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R
Android Developer,,"Sant Cugat del Vallès, Catalonia, Spain",Spain,Hybrid,Full-time,Entry level,49,,4 days ago,['Kotlin'],https://www.linkedin.com/jobs/view/4101200043&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
Appian Developer - 100% Remoto,,"Madrid, Community of Madrid, Spain",Spain,,Full-time,Entry level,14,,5 days ago,"['SQL', 'Oracle']",https://www.linkedin.com/jobs/view/4102417828&f_E=1%2C2&f_TPR=r604800&geoId=105646813&keywords=Software%20Engineer&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&start=25
