name,website,industry,company_size,headquarters,founded,specialties
Braintrust,http://www.usebraintrust.com,"Technology, Information and Internet",11-50 employees,"San Francisco, California",2018,"engineering, recruiting, talent, design, product, AI, sourcing, freelance, hiring, data science, marketing, product, program management, matching, interviewing, job description, and search"
Supermoon Labs S.L.,https://supermoonlabs.es/,Software Development,2-10 employees,"Donostia, Gipuzkoa",2023,"software, desarrollo web, desarrollo de apps, soluciones digitales, productos personalizados, calidad, seguridad, and innovacion"
MCA España,http://mca-groupe.com,Information Technology & Services,"1,001-5,000 employees","Madrid, Madrid",1991,"Automovilístico, Telecomunicaciones, Bancario, Industrial, and Energético"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
OPENCHIP & SOFTWARE TECHNOLOGIES,https://openchip.com/,Software Development,11-50 employees,"Barcelona, Barcelona",2024,
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Vista,http://www.vistaprint.com,Software Development,"5,001-10,000 employees","Waltham, MA",1995,"Small business marketing, Technology, Marketing, Microbusinesses, Software Engineering, Architecture, Finance, Manufacturing, design, and eCommerce"
Braintrust,http://www.usebraintrust.com,"Technology, Information and Internet",11-50 employees,"San Francisco, California",2018,"engineering, recruiting, talent, design, product, AI, sourcing, freelance, hiring, data science, marketing, product, program management, matching, interviewing, job description, and search"
Barcelona Supercomputing Center,http://www.bsc.es,Research Services,"501-1,000 employees","Barcelona, Barcelona",2005,"Supercomputing, Computer Sciences, Earth Sciences, Life Sciences, and High Performance Computing"
Neurored TMS & SCM,http://www.neurored.com,"Transportation, Logistics, Supply Chain and Storage",51-200 employees,"Madrid, Spain",2011,"Sourcing, Supply Chain, Logistics, SCM, ERP, Blockchain, IoT, Export, Import, Trade, Shipping, Freight, SaaS, Manufacturing, Technology, Procurement, Cloud, and Software"
MYSPHERA,http://mysphera.com/,IT Services and IT Consulting,11-50 employees,"Paterna, Valencia",2012,"RTLS and RFID technologies., Real Time Location Systems., IoT healthcare, and IoT technologies"
ALBA Synchrotron,http://www.albasynchrotron.es,Research Services,201-500 employees,"Cerdanyola del Vallès, Barcelona",,Synchrotron Light Source and Research
ALTEN Spain,http://www.alten.es,IT Services and IT Consulting,"1,001-5,000 employees",,,Consultoría e Ingeniería en Tecnologías Avanzadas and Servicios globales de Tecnologías de la Información
Redegal,http://www.redegal.com,IT Services and IT Consulting,51-200 employees,"Ourense, Ourense",2004,"Social Media Marketing, SEO, SEM, ASO, Analítica Web, Email Marketing, Imagen Corporativa, Diseño web, eCommerce, Desarrollo Web, Mobile Apps, I+D, Akamai, Consultoría, Display Performance, Integración ERP, Aplicaciones sociales, analytics, R&D, Publicidad Online, ecommerce develop, and web hosting"
Vicomtech,https://www.vicomtech.org,Research Services,201-500 employees,"San Sebastian, Guipuzcoa",2001,"Artificial Intelligence, Visual Computer and Interaction, Digital Technologies, Computer Vision, Computer Graphics, Digital Media, Dialogue and Speech, Machine Learning, Visual Analytics, Data Intelligence, Language Processing, and Digital Security"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
BC Digital Services SL,https://bcds.net/,IT Services and IT Consulting,201-500 employees,"Madrid, Madrid",2017,
SoftwareOne,https://www.softwareone.com/en/,IT Services and IT Consulting,"5,001-10,000 employees",,,"Technology Advisory Services, Software Licensing Solutions, Software Asset Management, Managed Services for Software Procurement, PyraCloud, AzureSimple, Managed Backup, Managed Cloud, Managed Security, Digital Supply Chain, Cloud Spend Management, BackupSimple, SAMSimple, UCSimple, 365Simple, Simple for AWS, SAP Services, Cloud Migration, Trusted Advisor, Cloud Platform Provider, Technology Services, Digital Transformation, Unified Support, Software Lifeycle Management, Commercial Transformation, Technology Transformation, FinOps Certifified, Diagnostics, IT Asset Management, Digital Workplace, Intelligent Automation, Application Modernization, Cirtical Workloads, Hyperscaler Cloud, Application Services, SAP in the Cloud, HyperScaler, Commercial Transformation, FinOps, and Appliction Services"
GFT Technologies,https://www.gft.com,IT Services and IT Consulting,"10,001+ employees","Stuttgart, Baden-Württemberg",1987,"Information Technology, ServiceNow, Technology, Banking, Insurance, Industry, Cloud, IT, Software, Blockchain, DLT, and AI"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
LuxQuanta,https://luxquanta.com/,IT Services and IT Consulting,11-50 employees,,2021,
Sportradar,http://www.sportradar.com,Information Services,"1,001-5,000 employees",,2001,"Sports-related live data and odds solutions, Virtual Sports Betting, Integrity services, Sports information services, Media services, and Digital Sports Solutions"
Shalion,http://shalion.com/,IT Services and IT Consulting,51-200 employees,"Barcelona, Catalonia",2019,"Technology, Ecommerce data, Artificial Intelligence, Market Research, Business analytics, Business intelligence, Behavioral analytics, Price tracking, Product tracking, Market Share, digital shelf, digital shelf analytics, retail media, retail media analytics, and retail media insights"
Capitole,http://www.capitole-consulting.com,IT Services and IT Consulting,"501-1,000 employees","Barcelona, Catalonia",2015,
UST España & Latam,https://www.ust.com/es,IT Services and IT Consulting,"10,001+ employees","Madrid, Madrid",1999,
LuxQuanta,https://luxquanta.com/,IT Services and IT Consulting,11-50 employees,,2021,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
ALTEN Spain,http://www.alten.es,IT Services and IT Consulting,"1,001-5,000 employees",,,Consultoría e Ingeniería en Tecnologías Avanzadas and Servicios globales de Tecnologías de la Información
Coforge,https://www.coforge.com/,IT Services and IT Consulting,"10,001+ employees","Noida, Uttar Pradesh",2004,"Travel and Transportation, Banking and Financial Services, Insurance, Healthcare, Public Sector, Business Process Solutions, Media, ERP, Manufacturing, Business Process Management, SAP, Metaverse, Digital Services, Cloud and Infrastructure Management Services, Artificial Intelligence, Machine Learning, Data & Analytics, and Data Science"
