title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Desarrollador de Delphi,Eurofins Megalab,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,70,,1 week ago,"['Delphi', 'PHP', 'SQL', 'PostgreSQL']"
Data Engineer (Data Vault) - Valencia,Key Talent Indicator,"Alicante, Valencian Community, Spain",Hybrid,Full-time,Entry level,38 people clicked apply,,3 weeks ago,['Oracle']
Software Engineer for AI powered CAD platform,Architechtures,"Málaga, Andalusia, Spain",On-site,Full-time,,100,,3 weeks ago,[]
"DevOps Engineer - Barcelona, Spain",FCM Travel Spain,"Barcelona, Catalonia, Spain",On-site,Contract,Entry level,72 people clicked apply,,Reposted 1 week ago,"['Azure', 'AWS', 'GCP', 'Kubernetes', 'Docker', 'PostgreSQL']"
iOS Developer,Digidentity,"Seville, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 6 days ago,[]
Engineer,Westinghouse Electric Company,"San Sebastián de los Reyes, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 1 week ago,[]
DEVOPS Engineer,OBRAMAT,"Leganés, Community of Madrid, Spain",Hybrid,Full-time,Entry level,14 people clicked apply,,1 week ago,[]
Full Stack Engineer,Sonas Wedding Venue Software,"Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,2 weeks ago,"['MongoDB', 'TypeScript', 'JavaScript', 'Playwright', 'HTML', 'CSS', 'AWS', 'React']"
"Software Engineer (Malaga region, Spain)",SISU GROUP,"Málaga, Andalusia, Spain",On-site,Full-time,,100 people clicked apply,,1 month ago,['Node.js']
Test Engineer with Chinese language,JOYNEXT,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,18,,3 weeks ago,[]
Software Designer / Concepteur(trice) logiciel,EXFO,"Valencia, Valencian Community, Spain",Hybrid,Full-time,Entry level,100,,Reposted 6 days ago,"['Java', 'Go', 'Angular', 'Kubernetes', 'Docker', 'Python', 'HTML', 'JavaScript', 'TypeScript']"
Data Engineer,Kyndryl,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,97 people clicked apply,,Reposted 6 days ago,"['AWS', 'GCP', 'Azure', 'SQL', 'Pandas', 'Snowflake']"
Software Embedded Engineer,Robert Walters,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,30 people clicked apply,,2 weeks ago,['Python']
Ingeniero/a Navegación Robótica: HMI,Sener,"Getxo, Basque Country, Spain",Hybrid,Full-time,Entry level,33 people clicked apply,,2 weeks ago,"['C++', 'Python']"
Rev-celerator Internship Programme: Python Software Engineer,Revolut,"Madrid, Community of Madrid, Spain",Remote,Internship,,100 people clicked apply,,Reposted 2 weeks ago,"['Python', 'SQL']"
DevOps Engineer,NTT DATA Europe & Latam,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100,,Reposted 2 weeks ago,[]
Programador PLC,Grupo Talents,"Badalona, Catalonia, Spain",On-site,Full-time,Entry level,26 people clicked apply,,Reposted 6 days ago,[]
Ingeniero/a Navegación Robótica: HMI,Sener,"Tres Cantos, Community of Madrid, Spain",Hybrid,Full-time,Entry level,42 people clicked apply,,2 weeks ago,"['C++', 'Python']"
Site Reliability Engineer,LeoVegas Group,"Málaga, Andalusia, Spain",Hybrid,Full-time,Entry level,64 people clicked apply,,Reposted 2 weeks ago,"['Java', 'Python', 'AWS', 'Azure', 'Docker']"
