title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Desarrollador de eCommerce / Senior-Junior PHP Developer,"Denox, Expertos en Comercio Electrónico","Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,3 months ago,"{'Symfony', 'PHP', 'HTML', 'CSS', 'MySQL'}"
Desarrollador de Delphi,Eurofins Megalab,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,70,,1 week ago,"{'PostgreSQL', 'PHP', 'SQL', 'Delphi'}"
Software Engineer for AI powered CAD platform,Architechtures,"Málaga, Andalusia, Spain",On-site,Full-time,,100,,3 weeks ago,set()
Data Engineer (Data Vault) - Valencia,Key Talent Indicator,"Alicante, Valencian Community, Spain",Hybrid,Full-time,Entry level,38 people clicked apply,,3 weeks ago,{'Oracle'}
"DevOps Engineer - Barcelona, Spain",FCM Travel Spain,"Barcelona, Catalonia, Spain",On-site,Contract,Entry level,72 people clicked apply,,Reposted 1 week ago,"{'AWS', 'Docker', 'GCP', 'PostgreSQL', 'Azure', 'Kubernetes'}"
Devops Engineer Iot,MA (Montreal Associates),"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,53,,1 week ago,set()
iOS Developer,Digidentity,"Seville, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 6 days ago,set()
Programador/a Microsoft Power Platform,NUNSYS,"Paterna, Valencian Community, Spain",Remote,Full-time,Entry level,45 people clicked apply,,Reposted 1 week ago,"{'HTML', 'JavaScript', 'CSS'}"
Programador full stack,TineVerse,"Oropesa, Valencian Community, Spain",On-site,Full-time,,100,,4 months ago,set()
DESARROLLADOR DE SOFTWARE DESKTOP,Ingecid,"Santander, Cantabria, Spain",On-site,Full-time,,40,,6 days ago,"{'C#', 'Azure', 'SQL'}"
Test Engineer with Chinese language,JOYNEXT,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,18,,3 weeks ago,set()
Data Engineer,Kyndryl,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,97 people clicked apply,,Reposted 6 days ago,"{'AWS', 'SQL', 'Pandas', 'GCP', 'Azure', 'Snowflake'}"
Software Embedded Engineer,Robert Walters,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,30 people clicked apply,,2 weeks ago,{'Python'}
Ingeniero/a Navegación Robótica: HMI,Sener,"Getxo, Basque Country, Spain",Hybrid,Full-time,Entry level,32 people clicked apply,,2 weeks ago,"{'C++', 'Python'}"
Front-End Developer (W/M),MCA España,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 4 days ago,"{'React', 'Sass'}"
Ingeniero/a Navegación Robótica: HMI,Sener,"Tres Cantos, Community of Madrid, Spain",Hybrid,Full-time,Entry level,42 people clicked apply,,2 weeks ago,"{'C++', 'Python'}"
DATA ENGINEER,Reale Seguros,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 1 week ago,{'Python'}
SW Development Trainee,Grifols,"Sant Cugat del Vallès, Catalonia, Spain",On-site,Internship,,100 people clicked apply,,Reposted 3 days ago,set()
.NET Software Engineer,GMV,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100,,Reposted 1 week ago,"{'HTML', 'CSS', 'JavaScript', 'TypeScript'}"
Test Automation Engineer-ES-Malaga,Globant,"Málaga, Andalusia, Spain",Hybrid,Full-time,Entry level,41 people clicked apply,,1 week ago,{'Selenium'}
Desarrollador de eCommerce / Senior-Junior PHP Developer,"Denox, Expertos en Comercio Electrónico","Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,3 months ago,"{'Symfony', 'CSS', 'MySQL', 'HTML', 'PHP'}"
Desarrollador de Delphi,Eurofins Megalab,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,70,,1 week ago,"{'Delphi', 'PHP', 'PostgreSQL', 'SQL'}"
Software Engineer for AI powered CAD platform,Architechtures,"Málaga, Andalusia, Spain",On-site,Full-time,,100,,3 weeks ago,set()
Data Engineer (Data Vault) - Valencia,Key Talent Indicator,"Alicante, Valencian Community, Spain",Hybrid,Full-time,Entry level,38 people clicked apply,,3 weeks ago,{'Oracle'}
"DevOps Engineer - Barcelona, Spain",FCM Travel Spain,"Barcelona, Catalonia, Spain",On-site,Contract,Entry level,72 people clicked apply,,Reposted 1 week ago,"{'Docker', 'GCP', 'AWS', 'Azure', 'Kubernetes', 'PostgreSQL'}"
iOS Developer,Digidentity,"Seville, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 6 days ago,set()
Software Engineer,Caroda,"Málaga, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 1 month ago,"{'Docker', 'Rust', 'AWS', 'Azure', 'React', 'Kubernetes'}"
Desarrollador de back-end,Beseif CORE,"San Sebastián, Basque Country, Spain",On-site,Full-time,,100,,4 weeks ago,"{'DynamoDB', 'AWS'}"
Engineer,Westinghouse Electric Company,"San Sebastián de los Reyes, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 1 week ago,set()
DEVOPS Engineer,OBRAMAT,"Leganés, Community of Madrid, Spain",Hybrid,Full-time,Entry level,14 people clicked apply,,1 week ago,set()
Test Engineer with Chinese language,JOYNEXT,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,18,,3 weeks ago,set()
Data Engineer,Kyndryl,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,97 people clicked apply,,Reposted 6 days ago,"{'GCP', 'AWS', 'Azure', 'Snowflake', 'Pandas', 'SQL'}"
Software Embedded Engineer,Robert Walters,"Barcelona, Catalonia, Spain",On-site,Full-time,Entry level,30 people clicked apply,,2 weeks ago,{'Python'}
Ingeniero/a Navegación Robótica: HMI,Sener,"Getxo, Basque Country, Spain",Hybrid,Full-time,Entry level,32 people clicked apply,,2 weeks ago,"{'C++', 'Python'}"
Rev-celerator Internship Programme: Python Software Engineer,Revolut,"Madrid, Community of Madrid, Spain",Remote,Internship,,100 people clicked apply,,Reposted 2 weeks ago,"{'Python', 'SQL'}"
Backend Developer (Product teams),Manychat,"Barcelona, Catalonia, Spain",,Full-time,Entry level,100 people clicked apply,,Reposted 1 week ago,"{'NoSQL', 'PHP'}"
Front-End Developer (W/M),MCA España,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100 people clicked apply,,Reposted 4 days ago,"{'Sass', 'React'}"
Ingeniero de Desarrollo de SW de Testeo,Power Electronics,"Liria, Valencian Community, Spain",Hybrid,Full-time,Entry level,18 people clicked apply,,2 weeks ago,"{'Python', 'MySQL'}"
SW Development Trainee,Grifols,"Sant Cugat del Vallès, Catalonia, Spain",On-site,Internship,,100 people clicked apply,,Reposted 3 days ago,set()
DevOps Engineer,NTT DATA Europe & Latam,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,100,,Reposted 2 weeks ago,set()
Desarrollador de eCommerce / Senior-Junior PHP Developer,"Denox, Expertos en Comercio Electrónico","Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,3 months ago,"['PHP', 'Symfony', 'MySQL', 'HTML', 'CSS']"
