title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Big Data Developer - SCIB Málaga,Santander Corporate & Investment Banking,"Málaga, Andalusia, Spain",On-site,Full-time,Entry level,20 people clicked apply,,6 days ago,"['Spark', 'Scala', 'Hadoop', 'Azure', 'Jenkins', 'SQL']"
Data Engineer - Negocio,Huxley,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Entry level,31 people clicked apply,,2 days ago,"['Python', 'PySpark', 'AWS', 'SQL', 'PostgreSQL']"
#DISCOVER I 2025-2026 Internship as Method Engineer,Airbus Aircraft,Greater Algeciras Metropolitan Area,Hybrid,Internship,,34 people clicked apply,,Reposted 6 days ago,"['Python', 'Pandas', 'PyTorch']"
Full stack software Developer Intern,Roche,"Sant Cugat del Vallès, Catalonia, Spain",,Full-time,Entry level,100 people clicked apply,,Reposted 2 hours ago,['Go']
Software Engineer,Caroda,"Málaga, Andalusia, Spain",Hybrid,Full-time,,100,,Reposted 1 month ago,"['Docker', 'Kubernetes', 'Azure', 'AWS', 'React', 'Rust']"
DevOps Engineer (f/m/d) L3 Support,NOVOLOS 01,Spain,Remote,Full-time,Mid-Senior level,100,,1 week ago,"['Azure', 'SQLite']"
Ingeniero/a junior de Software embebido,Zennio,"Toledo, Castile-La Mancha, Spain",On-site,Full-time,Associate,100 people clicked apply,,Reposted 2 weeks ago,['C']
Desarrollador de front-end REACT,EXCELIA,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,Reposted 2 weeks ago,"['React', 'Kubernetes']"
Ingeniero Python Ciberseguridad,Yeeply,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,Reposted 1 month ago,"['Python', 'Bash', 'PowerShell', 'Ruby', 'GDPR']"
Senior Data Engineer (Python) - ( Remote - Spain ),Jobgether,Spain,Remote,Full-time,Mid-Senior level,100,,5 days ago,"['Python', 'Hadoop', 'Spark', 'Kafka', 'MySQL', 'NoSQL', 'MongoDB', 'AWS']"
Ingeniero/a de software,"Legitec, legislación y técnología","Murcia, Región de Murcia, Spain",On-site,Full-time,,87,,Reposted 2 weeks ago,"['CSS', 'Python', 'Django', 'AWS']"
Python Developer (Software Engineer),Tenth Revolution Group,"Málaga, Andalusia, Spain",Hybrid,Full-time,Associate,100,,3 weeks ago,['Python']
Cloud Engineer,EXCELIA,"Madrid, Community of Madrid, Spain",On-site,Full-time,Mid-Senior level,20,,4 weeks ago,"['OpenShift', 'Kubernetes', 'Azure']"
Software Engineer,Enxenio,"A Coruña, Galicia, Spain",Hybrid,Full-time,Associate,100,,Reposted 1 week ago,"['Java', 'Spring', 'PostgreSQL', 'SQL', 'NoSQL']"
Desarrollador de front-end,Internet4e.com,"Segovia, Castilla and Leon, Spain",Hybrid,Full-time,,100,,2 months ago,"['React', 'HTML', 'CSS']"
DevOps Engineer,nazaries intelligenia,Spain,Remote,Full-time,Mid-Senior level,100,,2 weeks ago,"['Azure', 'Bash', 'Jenkins', 'CircleCI', 'Docker', 'Kubernetes', 'AWS', 'Oracle']"
Senior Frontend Developer,Buendía,"Oviedo, Principality of Asturias, Spain",On-site,Full-time,Mid-Senior level,59,,2 weeks ago,"['HTML', 'CSS']"
